,hhid,group_id_x,totformalborrow_24,totinformalborrow_24,hhinc,hhnomembers_x,survey_round,hhinc_24,totformalborrow_24_top_coded,totinformalborrow_24_top_coded,hhinc_top_coded,hhinc_24_top_coded,total_borrowed_amount,pair_id,treated,daily_per_capita_income,below_poverty_line,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
20,1908.0,16.0,30000,20000,7200,4,Endline II,172800,30000.0,20000.0,7200.0,172800.0,50000,15,0,60.0,1,Female (0),60.0,0 years,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,1969.0,2.0,60000,40000,3000,7,Endline II,72000,60000.0,40000.0,3000.0,72000.0,100000,12,0,14.285714285714286,0,Male (1),54.0,11 years,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
22,1985.0,137.0,60000,80000,12000,3,Endline II,288000,60000.0,80000.0,12000.0,288000.0,140000,14,1,133.33333333333334,1,Female (0),44.0,19+ years (Post-graduate),1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,2002.0,101.0,5000,30000,2800,3,Endline II,67200,5000.0,30000.0,2800.0,67200.0,35000,16,0,31.11111111111111,1,Female (0),32.0,3-7 years (Classes 1-5),0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,2010.0,16.0,846500,30000,2250,7,Endline II,54000,444844.80351986585,30000.0,2250.0,54000.0,876500,15,0,10.714285714285714,0,Male (1),42.0,11 years,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
25,2096.0,87.0,21000,30000,8500,4,Endline I,204000,21000.0,30000.0,8500.0,204000.0,51000,10,1,70.83333333333333,1,Male (1),44.0,10 years,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,2136.0,122.0,50000,109700,2100,4,Endline I,50400,50000.0,109700.0,2100.0,50400.0,159700,17,0,17.5,0,Female (0),33.0,11 years,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
27,2229.0,137.0,205000,30000,10000,4,Endline II,240000,205000.0,30000.0,10000.0,240000.0,235000,14,1,83.33333333333333,1,Female (0),33.0,9 years,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
28,2236.0,40.0,50000,32400,5600,9,Endline I,134400,50000.0,32400.0,5600.0,134400.0,82400,34,0,20.74074074074074,0,Male (1),41.0,3-7 years (Classes 1-5),1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
29,2293.0,40.0,142000,30000,8000,6,Endline I,192000,142000.0,30000.0,8000.0,192000.0,172000,34,0,44.44444444444445,1,Male (1),54.0,13 years,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
30,2318.0,76.0,23500,55000,6500,5,Endline II,156000,23500.0,55000.0,6500.0,156000.0,78500,5,0,43.33333333333333,1,Female (0),58.0,0 years,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,2342.0,40.0,50000,20000,13500,2,Endline I,324000,50000.0,20000.0,13500.0,324000.0,70000,34,0,225.0,1,Female (0),50.0,14 years (Class 12/HSC),1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,2409.0,40.0,12000,57000,21500,2,Endline I,516000,12000.0,57000.0,21500.0,516000.0,69000,34,0,358.3333333333333,1,Female (0),45.0,0 years,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,2422.0,63.0,5000,9000,5000,8,Endline I,120000,5000.0,9000.0,5000.0,120000.0,14000,10,0,20.833333333333332,0,Female (0),46.0,3-7 years (Classes 1-5),0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
34,2589.0,21.0,197000,20000,8000,4,Endline I,192000,197000.0,20000.0,8000.0,192000.0,217000,26,0,66.66666666666667,1,Male (1),43.0,8 years,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,2654.0,35.0,40000,30000,1000,2,Endline I,24000,40000.0,30000.0,1000.0,24000.0,70000,34,1,16.666666666666668,0,Male (1),60.0,3-7 years (Classes 1-5),1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,2784.0,13.0,50000,30000,8950,4,Endline II,214800,50000.0,30000.0,8950.0,214800.0,80000,15,1,74.58333333333333,1,Female (0),55.0,0 years,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,2788.0,128.0,60000,30000,24450,7,Endline II,586800,60000.0,30000.0,24450.0,586800.0,90000,13,1,116.42857142857143,1,Male (1),31.0,10 years,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
